"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2018/06/24","24","49.5","68.2","85.4","52.6","63.6","68.1","62.5","64.9","NA","NA","0.00","29.04","0.22","0.26"
"2018/06/25","25","51.7","66.1","78.5","45.9","54.9","68.3","64.4","66.1","NA","NA","0.07","27.94","0.23","0.30"
"2018/06/26","26","38.6","59.0","75.6","37.5","51.3","65.8","62.5","64.8","NA","NA","0.00","27.95","0.20","0.24"
"2018/06/27","27","39.2","61.9","79.1","40.0","49.6","65.2","61.9","64.0","NA","NA","0.00","23.44","0.19","0.25"
"2018/06/28","28","54.6","62.0","69.2","48.6","62.4","65.7","63.5","64.4","NA","NA","0.00","12.58","0.12","0.15"
"2018/06/29","29","43.8","62.3","77.0","47.2","62.0","66.1","62.0","63.8","NA","NA","0.00","21.37","0.17","0.21"
"2018/06/30","30","45.9","60.6","71.6","48.1","67.0","64.9","62.5","63.8","NA","NA","0.00","16.28","0.13","0.16"
"2018/07/01","1","40.9","60.8","78.1","43.0","59.3","64.7","61.1","63.1","NA","NA","0.00","23.67","0.18","0.23"
"2018/07/02","2","41.7","56.8","69.6","39.8","56.5","64.1","61.5","63.1","NA","NA","0.00","19.98","0.15","0.19"
"2018/07/03","3","34.3","54.6","69.5","42.3","67.6","62.7","60.0","61.8","NA","NA","0.00","18.56","0.12","0.15"
"2018/07/04","4","39.4","63.2","81.4","45.4","59.1","65.5","59.7","62.1","NA","NA","0.00","26.78","0.20","0.24"
"2018/07/05","5","53.7","73.3","93.3","49.7","48.6","69.5","63.1","65.1","NA","NA","0.00","27.06","0.27","0.36"
"2018/07/06","6","50.2","72.1","89.3","48.6","50.8","70.4","64.8","67.0","NA","NA","0.00","27.11","0.25","0.32"
"2018/07/07","7","51.0","67.3","81.8","46.3","53.1","70.6","66.0","67.8","NA","NA","0.01","26.65","0.22","0.28"
"2018/07/08","8","42.3","66.0","87.1","44.0","52.6","69.8","64.6","67.1","NA","NA","0.00","29.67","0.23","0.28"
"2018/07/09","9","46.8","70.8","93.2","44.0","47.5","71.0","65.2","67.6","NA","NA","0.00","29.26","0.26","0.33"
"2018/07/10","10","51.5","64.5","77.9","50.4","62.4","68.2","66.5","67.7","NA","NA","0.07","15.62","0.15","0.19"
"2018/07/11","11","46.4","66.8","87.3","48.1","58.1","68.7","63.8","66.0","NA","NA","0.00","27.84","0.23","0.30"
"2018/07/12","12","47.5","70.9","93.3","47.3","51.0","70.7","64.7","67.1","NA","NA","0.00","29.29","0.26","0.33"
"2018/07/13","13","51.6","75.1","97.5","47.0","45.4","72.6","66.3","68.7","NA","NA","0.00","28.78","0.28","0.36"
"2018/07/14","14","53.6","75.5","90.3","34.9","27.1","73.7","68.0","69.9","NA","NA","0.00","30.10","0.30","0.41"
"2018/07/15","15","43.6","69.7","94.6","34.8","36.9","72.1","66.7","69.2","NA","NA","0.00","29.93","0.28","0.39"
"2018/07/16","16","44.4","73.0","98.3","41.2","40.6","72.9","66.8","69.3","NA","NA","0.00","29.10","0.27","0.35"
"2018/07/17","17","48.7","74.6","98.4","43.3","40.3","73.9","68.0","70.3","NA","NA","0.00","28.29","0.27","0.35"
"2018/07/18","18","50.9","72.9","93.7","45.0","41.0","73.8","68.4","70.7","NA","NA","0.00","27.75","0.26","0.34"
"2018/07/19","19","52.7","71.7","88.9","45.4","43.3","74.0","69.0","71.1","NA","NA","0.00","28.47","0.26","0.34"
"2018/07/20","20","49.3","66.9","85.0","36.6","37.9","72.4","68.5","70.5","NA","NA","0.00","28.10","0.25","0.34"
"2018/07/21","21","40.5","66.0","84.6","35.4","38.6","71.7","67.1","69.4","NA","NA","0.00","28.39","0.23","0.31"
"2018/07/22","22","45.8","68.2","88.2","40.5","42.3","72.6","67.3","69.4","NA","NA","0.00","28.47","0.23","0.29"
